Time_Index,Load_HSC_Tonne_z1,Load_HSC_Tonne_z2,Load_HSC_Tonne_z3
276,27.7,14.6,9.4
277,23.7,12.8,8
278,24,12.8,8.1
279,26,13.5,8.9
280,21.8,11.8,7.3
281,32.8,16.5,11.2
282,29.7,15.4,10
283,27.6,14.6,9.2
284,35.2,17.6,12
285,36.3,17.9,12.5
286,29.3,15.1,9.9
287,37,18.3,12.7
288,37.7,18.6,12.9
289,31.6,16.1,10.5
290,26,13.8,8.4
291,20.7,11.6,6.5
292,20.5,11.5,6.5
293,20.5,11.5,6.5
294,20.7,11.6,6.6
295,21.2,11.9,6.8
296,21.5,12.1,6.8
297,25.3,13.7,8.2
298,21.2,12,6.9
299,24.5,13.3,8.4
300,23.5,12.7,8.1
301,21.9,11.9,7.5
302,25.3,13.3,8.7
303,26.8,13.8,9.3
304,23.7,12.5,8.1
305,25.2,13.2,8.5
306,23.8,12.8,7.8
307,23.8,12.9,7.8
308,22.9,12.4,7.5
309,25.6,13.4,8.5
310,32.2,16.2,10.9
311,24,12.9,8
312,19.7,11.1,6.4
313,22.7,12.4,7.6
314,18.9,10.9,6.2
315,18.8,10.9,6.2
316,18.8,10.9,6.2
317,18.9,10.9,6.2
318,19.4,11.1,6.4
319,21.9,12.2,7.2
320,29.3,15,9.5
321,42.6,20.2,14.2
322,36.8,17.6,12.2
323,31,15.1,10.2
324,31.6,15.3,10.5
325,34.2,16.3,11.5
326,27,13.2,8.9
327,30.5,14.6,10.2
328,28,13.6,9.3
329,31.7,15.5,10.7
330,33.6,16.7,11.5
331,33.2,16.7,11.4
332,44.2,21.2,15.5
333,47.7,22.5,16.8
334,33.8,16.9,11.8
335,24.4,13.1,8.4
336,19.4,11.1,6.6
337,19,11,6.3
338,19.3,11.1,6.4
339,19.3,11.2,6.4
340,19.3,11.2,6.4
341,19.4,11.2,6.4
342,19.9,11.5,6.7
343,23,12.8,7.8
344,28.3,14.8,9.7
345,34.1,16.8,11.5
346,28.7,14.4,9.5
347,30.6,15.1,10.2
348,28.2,14,9.4
349,26.7,13.4,8.9
350,28.1,13.8,9.4
351,28.5,13.9,9.5
352,26.9,13.3,8.9
353,35.9,17.4,12.3
354,35.3,17.7,12.1
355,51.6,24.6,18.1
356,44.2,21.4,15.4
357,33.5,16.9,11.6
358,30.1,15.7,10.4
359,38.2,19.2,13.4
360,29.7,15.7,10.3
361,26.8,14.6,9.2
362,27.3,14.9,9.4
363,24.5,13.8,8.4
364,24.5,13.8,8.4
365,24.3,13.7,8.3
366,21.7,12.7,7.4
367,24.4,13.9,8.4
368,35.2,18.2,12.3
369,39.8,19.7,13.6
370,30.2,15.6,10.1
371,38.5,18.9,13.1
372,41.8,20.1,14.4
373,45.4,21.6,15.7
374,41.6,19.8,14.3
375,41.7,19.8,14.3
376,35.2,17.1,12
377,37,18.2,12.6
378,32.2,16.8,11
379,44.5,22,15.5
380,31.2,16.4,10.7
381,27.5,14.7,9.4
382,23.7,13.3,8.1
383,24.5,13.8,8.4
384,25.1,14,8.6
385,26.4,14.7,9.1
386,22.3,13,7.5
387,21.9,12.9,7.3
388,21.9,12.9,7.3
389,22.1,13,7.4
390,22.7,13.3,7.7
391,28.5,15.7,9.8
392,35.4,18.4,12.3
393,39.2,19.5,13.3
394,36.3,18.1,12.2
395,39.7,19.4,13.4
396,40.5,19.6,13.7
397,34.8,17.2,11.8
398,35.7,17.3,12.1
399,36.9,17.8,12.5
400,37.9,18.2,12.9
401,39,19,13.3
402,35.4,18,12.1
403,52,25,18.1
404,44.5,21.7,15.4
405,38.7,19.3,13.4
406,32.4,16.8,11.2
407,30.3,16.1,10.5
408,34.6,17.9,12
409,36.7,18.8,12.8
410,29.8,16,10.2
411,27.9,15.2,9.5
412,30,16.1,10.3
413,31.1,16.5,10.8
414,28.1,15.4,9.7
415,25.6,14.3,8.9
416,31.9,16.8,11.1
417,40.2,19.8,13.8
418,40.4,19.7,13.7
419,37.3,18.3,12.7
420,33.1,16.4,11.2
421,29,14.7,9.8
422,29.6,14.8,10
423,40.3,19.1,13.9
424,32.1,15.8,11
425,29.6,15.1,10.1
426,36.8,18.5,12.8
427,35.4,18.1,12.3
428,29.2,15.4,10.1
429,27.7,14.7,9.6
430,41.5,20.5,14.7
431,31.8,16.6,11.3
432,33.2,17.2,11.7
433,31.6,16.7,11.2
434,35,18.1,12.3
435,31.3,16.6,10.9
436,26.5,14.6,9.2
437,23.1,13.2,8
438,22.2,12.8,7.7
439,23.1,13.4,8.2
440,24.2,13.9,8.7
441,27.4,15.1,9.7
442,32.9,17.3,11.6
443,34.5,17.8,12.3
444,34.8,17.8,12.4
445,41.1,20.3,14.8
446,36,18.1,12.9
447,31.8,16.3,11.4
448,26.9,14.3,9.6
449,26.6,14.3,9.4
450,32.8,17.1,11.6
451,31.9,16.8,11.3
452,30,15.9,10.6
453,28.9,15.3,10.3
454,32.7,16.9,11.7
455,31.9,16.7,11.5
456,31.3,16.4,11.2
457,26.6,14.5,9.3
458,22.6,12.9,7.8
459,22.1,12.7,7.5
460,22,12.7,7.5
461,22,12.7,7.5
462,22.5,13,7.7
463,23.1,13.4,7.8
464,23.7,13.7,8.1
465,23.9,13.8,8.3
466,23.7,13.7,8.3
467,25.7,14.4,9.1
468,28.3,15.4,10
469,30,15.9,10.7
470,28.5,15.2,10.1
471,22.2,12.5,7.9
472,26,14.1,9.2
473,26.5,14.5,9.3
474,32.8,17.3,11.5
475,36.6,19,12.9
476,28.9,15.7,10.1
477,28.1,15.2,9.9
478,31,16.5,11
479,24.9,14.1,8.8
480,28.1,15.4,10
481,28,15.5,9.8
482,22.4,13.2,7.7
483,22.3,13.2,7.6
484,22.2,13.1,7.5
485,22.4,13.2,7.6
486,22.9,13.4,7.8
487,24.3,14,8.2
488,27.1,15,8.9
489,38.7,19.4,12.9
490,32.5,16.7,10.7
491,31.5,16.1,10.5
492,34.7,17.3,11.6
493,34.6,17.2,11.8
494,35.4,17.4,12.1
495,32.4,16,11.1
496,30.3,15.1,10.3
497,28.1,14.6,9.6
498,34.5,17.7,12.1
499,39,19.7,13.8
500,44.5,21.8,15.9
501,34,17.3,12.2
502,33.5,17.2,12.1
503,37.8,19.1,13.8
504,32.2,16.8,11.7
505,31.8,16.7,11.5
506,27.5,14.9,9.9
507,22.7,12.9,8.1
508,19,11.3,6.8
509,18.9,11.2,6.8
510,19.2,11.3,6.9
511,20.6,11.9,7.6
512,23.6,12.9,8.6
513,28.9,14.6,10.1
514,35.3,17.1,12.4
515,27.1,13.5,9.4
516,27.5,13.5,9.6
517,24.7,12.3,8.7
518,35.6,16.6,12.6
519,33.7,15.7,11.9
520,23.2,11.4,8.1
521,28.8,14.1,10.2
522,30.9,15.3,11.1
523,28.5,14.4,10.3
524,33.4,16.3,12
525,26.6,13.5,9.7
526,22.4,11.9,8.3
527,21.6,11.7,8.2
528,26.2,13.6,9.8
529,21.8,11.8,8
530,16.4,9.6,5.9
531,15.9,9.4,5.7
532,15.8,9.3,5.7
533,15.8,9.3,5.7
534,16.1,9.5,5.9
535,18.7,10.6,7
536,25.3,13,9.3
537,29.6,14.4,10.5
538,30.3,14.5,10.6
539,28.4,13.6,10
540,38.1,17.5,13.5
541,36.5,16.9,13.1
542,39.9,18.1,14.2
543,38.7,17.5,13.8
544,42.8,19.3,15.3
545,35.6,16.5,12.7
546,31.3,15.2,11.3
547,26.3,13.2,9.6
548,31.4,15.2,11.4
549,33.4,16,12.2
550,28.3,14,10.5
551,27.2,13.7,10.2
552,20.3,10.8,7.7
553,16.6,9.3,6.2
554,13.9,8.2,5.2
555,18.4,10.1,6.8
556,16.2,9.1,6
557,13.5,8,5.1
558,13.8,8.2,5.2
559,16.3,9.2,6.3
560,23,11.6,8.7
561,24.9,12,9
562,32.6,15.1,11.6
563,23.4,11.2,8.4
564,29,13.4,10.4
565,23.4,11.1,8.5
566,23.9,11.1,8.6
567,24.8,11.5,8.9
568,24.3,11.3,8.7
569,22.8,11,8.2
570,27.6,13.3,10.1
571,24.2,12,8.9
572,37.9,17.6,13.9
573,29.4,14.1,10.8
574,24.1,12,9
575,24.2,12.2,9.2
576,25.3,12.7,9.6
577,19.7,10.4,7.3
578,23.7,12.1,8.6
579,22.3,11.5,8.1
580,18.2,9.8,6.6
581,15.1,8.5,5.6
582,14.4,8.3,5.3
583,15.8,8.9,6
584,18.8,9.9,7
585,25.3,12.2,9
586,28.8,13.5,10.2
587,23.9,11.4,8.5
588,31.4,14.4,11.2
589,39,17.6,14
590,37.5,16.9,13.5
591,32.8,14.9,11.7
592,26.7,12.5,9.6
593,26.4,12.7,9.5
594,22,11.2,8
595,32.6,15.7,11.9
596,46.6,21.4,16.9
597,38,17.8,13.9
598,24.7,12.4,9.1
599,24,12.2,9
600,16.9,9.2,6.3
601,13.7,7.9,4.7
602,16.1,9,5.6
603,18.4,9.9,6.4
604,18.6,10,6.5
605,15.2,8.6,5.3
606,18.8,10.1,6.6
607,19.5,10.4,7
608,20.3,10.8,7.4
609,22.8,11.8,8.2
610,20.4,10.7,7.3
611,16.7,9,6
612,17.5,9.3,6.3
613,17.3,9.2,6.3
614,23.6,11.8,8.6
615,22.5,11.2,8.1
616,27.1,13.2,9.8
617,26.2,12.9,9.4
618,23.9,12.1,8.5
619,22.7,11.7,8
620,23.4,11.9,8.2
621,35,16.7,12.5
622,30.6,14.9,10.9
623,19.9,10.5,7
624,18.5,9.9,6.4
625,14.7,8.4,5.1
626,15,8.6,5.1
627,15.1,8.6,5.1
628,15.1,8.6,5.1
629,15.1,8.7,5.1
630,15.4,8.9,5.2
631,15.9,9.2,5.4
632,16.1,9.3,5.2
633,18.8,10.4,6.3
634,17.8,10,6.2
635,24.6,12.8,8.8
636,18.2,10,6.5
637,20.7,11,7.4
638,17.3,9.5,6.2
639,20.6,10.8,7.4
640,21.7,11.3,7.7
641,40.2,19.1,14.3
642,49.4,23,17.5
643,44.4,21,15.7
644,27.3,13.8,9.5
645,30.9,15.3,10.8
646,28.8,14.4,10.1
647,32.3,16,11.4
648,34.2,16.8,12.1
649,26.3,13.6,9.2
650,26.5,13.7,9.2
651,25.5,13.3,8.9
652,21.3,11.6,7.3
653,18.2,10.3,6.2
654,17.4,10,5.9
655,18.7,10.6,6.3
656,21.5,11.4,6.9
657,27.2,13.4,8.8
658,32.3,15.5,10.8
659,25.4,12.5,8.4
660,25.2,12.3,8.4
661,24.1,11.9,8.1
662,25.5,12.3,8.6
663,24.9,12,8.4
664,23.4,11.5,7.9
665,22.9,11.6,7.8
666,43.5,20.6,15.4
667,41.3,19.8,14.6
668,48.7,22.7,17.3
669,45.9,21.6,16.4
670,35.2,17.3,12.6
671,26.7,13.9,9.6
672,27.6,14.3,9.9
673,19.7,11.1,7
674,17.2,10.1,6.1
675,17.1,10,6
676,17,10,6
677,17.1,10,6.1
678,17.5,10.2,6.3
679,19,10.9,6.9
680,23.4,12.4,8.5
681,32.6,15.9,11.4
682,48,22.1,16.9
683,46.1,21.2,16.3
684,31.8,15.1,11.1
685,29.7,14.2,10.4
686,32.7,15.3,11.5
687,31.6,14.8,11.1
688,32.1,15,11.3
689,36.9,17.4,13.1
690,28.2,14.1,10
691,30.8,15.3,11
692,38.1,18.2,13.7
693,32.1,15.7,11.6
694,30.9,15.3,11.2
695,31.3,15.6,11.5
696,25.2,13.1,9.3
697,23.2,12.3,8.4
698,20.5,11.2,7.4
699,17.9,10.1,6.4
700,15.5,9.1,5.6
701,15.5,9.1,5.6
702,15.8,9.2,5.8
703,17.1,9.8,6.4
704,20.1,10.8,7.4
705,30.4,14.6,10.8
706,40.3,18.6,14.3
707,42.8,19.5,15.2
708,44.3,20,15.8
709,34.9,16.1,12.5
710,32.8,15.1,11.7
711,34.8,15.9,12.4
712,30.1,14,10.7
713,30.7,14.6,10.9
714,30.9,15.1,11.1
715,29.9,14.8,10.8
716,36.1,17.2,13
717,38.6,18.2,14
718,26.4,13.3,9.7
719,20.4,11,7.6
720,24.6,12.8,9.1
721,17,9.7,6.4
722,15.3,9,5.7
723,15.3,9,5.6
724,15.3,9,5.6
725,15.4,9.1,5.7
726,15.9,9.3,5.9
727,17.2,9.9,6.6
728,23.1,12.1,8.6
729,29.4,14.3,10.6
730,34.6,16.4,12.3
731,32.2,15.2,11.5
732,23.9,11.7,8.5
733,26.3,12.7,9.4
734,27.1,12.9,9.7
735,24.7,11.8,8.8
736,21.4,10.6,7.6
737,27.3,13.3,9.7
738,36,17.3,13.1
739,28.4,14.3,10.4
740,26.9,13.5,9.8
741,25.4,12.8,9.3
742,18.4,10.1,6.9
743,25.7,13.3,9.7
744,25.6,13.3,9.6
745,25.1,13.1,9.1
746,25.1,13.1,9.1
747,24.4,12.8,8.8
748,17.1,9.8,6.2
749,15.7,9.1,5.7
750,16.1,9.3,5.8
751,17.4,9.9,6.4
752,20.2,10.9,7.4
753,30.4,14.7,10.8
754,28.7,13.9,10.1
755,25.8,12.5,9.1
756,22.8,11.2,8
757,24.5,11.9,8.7
758,26.2,12.5,9.3
759,21.4,10.5,7.5
760,20.9,10.4,7.4
761,20.2,10.4,7.1
762,23.3,12,8.4
763,27.5,13.9,9.9
764,35.9,17.3,13
765,33.2,16.1,12.1
766,22.4,11.7,8.2
767,20.7,11.1,7.7
768,23.9,12.4,8.8
769,25.8,13.3,9.3
770,20.6,11.1,7.3
771,19.9,10.8,7
772,15.7,9.1,5.5
773,15.4,9,5.5
774,15.7,9.1,5.6
775,16.5,9.6,6.1
776,17.3,9.9,6.5
777,17.9,10.1,6.5
778,18.3,10.1,6.6
779,18.8,10.2,6.8
780,19.2,10.2,7
781,22.8,11.7,8.4
782,16.8,9.1,6.2
783,16.3,8.9,6
784,24.3,12.2,8.9
785,34.3,16.5,12.4
786,34.1,16.5,12.3
787,28.2,14.1,10.2
788,23.3,12,8.4
789,21.5,11.2,7.8
790,17.3,9.5,6.4
791,14.9,8.6,5.5
792,14.9,8.6,5.5
793,19.1,10.3,6.9
794,19.2,10.4,6.8
795,19.1,10.3,6.8
796,18.9,10.2,6.7
797,18.1,9.9,6.4
798,14.4,8.4,5.1
799,14.3,8.4,5.1
800,14.3,8.5,5
801,15.5,9,5.6
802,18.3,10.1,6.7
803,18.2,10,6.9
804,21.9,11.4,8.2
805,18.7,10,7.1
806,18.4,9.8,6.9
807,26.4,13.1,9.8
808,29,14.1,10.7
809,26.2,13.1,9.6
810,26,13.1,9.5
811,27.7,13.8,10.1
812,27.8,13.8,10.1
813,25.9,13,9.5
814,19.2,10.2,7.1
815,16.1,9,6
816,12.9,7.7,4.9
817,15.2,8.8,5.8
818,15.6,8.9,5.9
819,12.8,7.8,4.8
820,12.6,7.7,4.7
821,12.7,7.7,4.8
822,14.2,8.4,5.3
823,14.3,8.4,5.3
824,19,10.1,6.7
825,26,12.6,9
826,30.6,14.4,10.7
827,28,13.2,9.9
828,21.1,10.2,7.4
829,22.3,10.7,7.9
830,29,13.4,10.3
831,29.3,13.4,10.4
832,26.5,12.3,9.4
833,28.8,13.6,10.4
834,29.7,14.3,10.9
835,36.7,17.3,13.5
836,28.2,13.7,10.4
837,29.2,14.1,10.8
838,27.6,13.5,10.4
839,23.6,12,9
840,26.5,13.2,10
841,22,11.3,8
842,12.9,7.5,4.7
843,12.5,7.4,4.5
844,12.5,7.3,4.5
845,12.7,7.4,4.6
846,13,7.5,4.8
847,14.2,8,5.3
848,17.3,9,6.3
849,21.4,10.3,7.5
850,34.2,15.4,12.1
851,26.7,12.2,9.4
852,25.2,11.5,8.8
853,19.9,9.3,7
854,22.6,10.3,7.9
855,19.5,9,6.8
856,21.3,9.8,7.4
857,23.4,10.9,8.2
858,22.4,10.9,8
859,24.8,11.9,8.9
860,16.4,8.4,5.8
861,19.9,9.8,7.2
862,17.5,8.9,6.3
863,25.2,12.2,9.2
864,26.4,12.7,9.6
865,23.6,11.7,8.5
866,17.4,9.1,6.2
867,17.2,9,6.2
868,17.1,9,6.1
869,17,9,6.1
870,14.9,8.1,5.4
871,13.9,7.7,5.1
872,22.9,11.2,8.4
873,28.4,13.1,10.1
874,29.3,13.3,10.3
875,37.5,16.6,13.3
876,30.5,13.7,10.8
877,26.4,12,9.3
878,24,10.9,8.4
879,19.1,8.9,6.7
880,20.1,9.4,7
881,19.6,9.4,6.9
882,26.6,12.7,9.6
883,22.1,11,7.9
884,24.7,12,8.8
885,23.2,11.4,8.4
886,24.9,12.2,9
887,32.5,15.5,11.9
888,32.3,15.4,11.7
889,25.2,12.5,9
890,22.5,11.4,8
891,21.2,11,7.5
892,17.8,9.5,6.3
893,15.6,8.6,5.5
894,13.8,7.9,4.9
895,15.1,8.5,5.4
896,23,11.5,8.3
897,23.9,11.5,8.3
898,33.8,15.6,11.8
899,30.1,14,10.5
900,24.7,11.6,8.5
901,24.9,11.8,8.6
902,31.9,14.6,11.1
903,30.9,14.1,10.7
904,30,13.8,10.4
905,30.1,14.2,10.5
906,33.5,16.1,11.8
907,33.4,16.1,11.8
908,35.4,16.8,12.5
909,32.2,15.5,11.4
910,39.5,18.6,14
911,34.2,16.6,12.2
912,28.9,14.5,10.2
913,18.4,10.2,6.3
914,16.7,9.6,5.6
915,17,9.7,5.7
916,17,9.7,5.7
917,17.2,9.8,5.8
918,17.7,10.1,6
919,19,10.7,6.6
920,26.7,13.7,9.3
921,33.2,16.1,11.4
922,37.1,17.6,12.7
923,32.3,15.5,11.1
924,40.6,18.9,14.1
925,34.4,16.4,11.9
926,35.2,16.6,12.2
927,30.6,14.6,10.5
928,22.3,11.3,7.5
929,22.3,11.6,7.6
930,21.4,11.7,7.3
931,32.1,16.3,11.2
932,35.2,17.5,12.4
933,29.4,15,10.4
934,29.1,15,10.3
935,27.9,14.6,9.9
936,24.2,13.1,8.5
937,25.6,13.8,9
938,24.8,13.5,8.7
939,21,11.9,7.3
940,20.3,11.6,7.1
941,20.1,11.5,7
942,17.9,10.7,6.3
943,16.1,10,5.8
944,16.8,10.4,6.2
945,17.3,10.5,6.3
946,22.7,12.6,8.2
947,25.5,13.5,9.2
948,23.1,12.4,8.3
949,17.9,10.2,6.5
950,23.6,12.4,8.6
951,24.1,12.5,8.8
952,27.5,13.9,10
953,21.8,11.7,7.9
954,26.9,14,9.7
955,29.4,15,10.6
956,23.9,12.6,8.6
957,22.3,11.8,8
958,19.7,10.7,7.1
959,16.3,9.3,5.9
960,18.1,10,6.5
961,17.9,9.9,6.3
962,21.4,11.4,7.5
963,21.5,11.4,7.6
964,17,9.5,5.9
965,13.1,7.8,4.5
966,12.9,7.7,4.5
967,13,7.8,4.5
968,13,7.8,4.4
969,12.8,7.7,4.3
970,12.9,7.7,4.6
971,20.2,10.6,7.5
972,27.9,13.7,10.3
973,27.2,13.3,10
974,29.7,14.2,10.9
975,23.4,11.6,8.6
976,26.1,12.7,9.5
977,27,13.1,9.7
978,31.4,15,11.2
979,34.4,16.2,12.3
980,24.6,12.1,8.7
981,17.9,9.3,6.3
982,14.3,7.8,5
983,12.2,7,4.3
984,12,6.9,4.3
985,12,7,4.2
986,12,7,4.2
987,11.9,7,4.2
988,11.7,6.9,4.1
989,11.9,7,4.2
990,12.2,7.2,4.3
991,13.2,7.6,4.6
992,18,9.2,5.9
993,28.2,13.1,9.5
994,32.1,14.6,11
995,28.6,13.1,9.9
996,26.7,12.2,9.2
997,24.2,11.2,8.4
998,27.9,12.7,9.7
999,32.3,14.4,11.3
1000,24.5,11.3,8.5
1001,26.2,12.3,9.2
1002,27.7,13.3,9.9
1003,30.8,14.6,11
1004,25,12.2,8.9
1005,23.8,11.6,8.5
1006,20.4,10.3,7.3
1007,25.2,12.4,9.1
1008,29.9,14.4,10.8
1009,31.9,15.3,11.4
1010,25.9,12.8,9.2
1011,16.7,9,5.8
1012,12.9,7.4,4.5
1013,13.1,7.5,4.6
1014,13.5,7.7,4.7
1015,14.8,8.2,5.3
1016,22.6,11.2,8.1
1017,35.8,16.3,12.5
1018,34,15.4,11.8
1019,25.8,11.9,8.8
1020,23,10.6,7.8
1021,24.7,11.4,8.5
1022,22.3,10.3,7.6
1023,24.4,11.2,8.3
1024,20.3,9.5,6.8
1025,22.9,10.9,7.8
1026,33.1,15.6,11.7
1027,36.3,16.9,12.8
1028,35.6,16.6,12.5
1029,29.8,14.2,10.5
1030,23.8,11.8,8.4
1031,32.9,15.7,11.7
