Time_Index,ng,electricity
590,25.4,84.22
591,25.4,88.61
592,25.4,96.98
593,25.4,116
594,25.4,112.4
595,25.4,98.53
596,25.4,79.91
597,25.4,84.28
598,25.4,79.4
599,25.4,74.17
600,25.4,62.8
601,25.4,62
602,25.4,58.49
603,25.4,54.79
604,25.4,47.4
605,25.4,50.87
606,25.4,58.15
607,25.4,71.98
608,25.4,77.45
609,25.4,80.1
610,25.4,71.34
611,25.4,58.94
612,25.4,52.08
613,25.4,46.3
614,25.4,50
615,25.4,51.17
616,25.4,75
617,25.4,95
618,25.4,135.57
619,25.4,111.12
620,25.4,95.8
621,25.4,82
622,25.4,84.2
623,25.4,79.36
624,25.4,74.5
625,25.4,68.9
626,25.4,65.9
627,25.4,59
628,25.4,56.49
629,25.4,58.58
630,25.4,59.98
631,25.4,66.9
632,25.4,86.76
633,25.4,86.2
634,25.4,80.17
635,25.4,60.33
636,25.4,55.84
637,25.4,53.88
638,25.4,59.73
639,25.4,78.2
640,25.4,82.4
641,25.4,91.22
642,25.4,95.97
643,25.4,92.62
644,25.4,84.43
645,25.4,75.96
646,25.4,75.97
647,25.4,72.7
648,25.4,66.77
649,25.4,60.7
650,25.4,59.1
651,25.4,58.89
652,25.4,59.97
653,25.4,62.41
654,25.4,59.32
655,25.4,58.98
656,25.4,59.2
657,25.4,55.22
658,25.4,51.35
659,25.4,45.51
660,25.4,41.24
661,25.4,40.25
662,25.4,49.71
663,25.4,54.9
664,25.4,66.29
665,25.4,76.42
666,25.4,74.7
667,25.4,70.16
668,25.4,68.61
669,25.4,57.57
670,25.4,59.66
671,25.4,56
672,25.4,49.97
673,25.4,47.26
674,25.4,48.12
675,25.4,47.97
676,25.4,51.58
677,25.4,60.06
678,25.4,80.15
679,25.4,92.69
680,25.4,99.2
681,25.4,88.39
682,25.4,78.9
683,25.4,71.27
684,25.4,70.24
685,25.4,74.87
686,25.4,81.99
687,25.4,95.67
688,25.4,104.79
689,25.4,120.2
690,25.4,115.92
691,25.4,107.52
692,25.4,90.95
693,25.4,85.66
694,25.4,83.25
695,25.4,80.29
696,25.4,71.94
697,25.4,68.76
698,25.4,69.37
699,25.4,67.09
700,25.4,66.63
701,25.4,69.37
702,25.4,78.61
703,25.4,90.77
704,25.4,95.94
705,25.4,84.93
706,25.4,77.15
707,25.4,70.1
708,25.4,68.1
709,25.4,68.23
710,25.4,71.93
711,25.4,78.6
712,25.4,81.97
713,25.4,88.36
714,25.4,99.38
715,25.4,110.41
716,25.4,89.9
717,25.4,80.12
718,25.4,82.45
719,25.4,77.3
720,25.4,78.9
721,25.4,74.03
722,25.4,70.89
723,25.4,69.82
724,25.4,69.17
725,25.4,73.86
726,25.4,84.77
727,25.4,105.17
728,25.4,120
729,25.4,93.53
730,25.4,82.98
731,25.4,77.09
732,25.4,74.91
733,25.4,67.5
734,25.4,66.8
735,25.4,73.94
736,25.4,78.55
737,25.4,85.65
738,25.4,85.5
739,25.4,69.2
740,25.4,62.78
741,25.4,58.18
742,25.4,54
743,25.4,40.57
744,25.4,48
745,25.4,42.37
746,25.4,43.04
747,25.4,43.94
748,25.4,47.63
749,25.4,56.06
750,25.4,69.2
751,25.4,86.37
752,25.4,99.76
753,25.4,92.77
754,25.4,83.71
755,25.4,75.5
756,25.4,67.6
757,25.4,57.26
758,25.4,71.2
759,25.4,87.5
760,25.4,84
761,25.4,112.62
762,25.4,113
763,25.4,98.03
764,25.4,90.81
765,25.4,83.34
766,25.4,81.91
767,25.4,73.42
768,25.4,64.32
769,25.4,59.95
770,25.4,58
771,25.4,54.69
772,25.4,53.14
773,25.4,55.13
774,25.4,66.49
775,25.4,77.91
776,25.4,89.61
777,25.4,86.21
778,25.4,80.8
779,25.4,75.17
780,25.4,64.89
781,25.4,62.56
782,25.4,63.7
783,25.4,67.7
784,25.4,80
785,25.4,88.47
786,25.4,99.97
787,25.4,82
788,25.4,73.3
789,25.4,70
790,25.4,63.15
791,25.4,54.84
792,25.4,49.68
793,25.4,43.08
794,25.4,34.9
795,25.4,14
796,25.4,10.98
797,25.4,11.4
798,25.4,16.48
799,25.4,36.43
800,25.4,46.91
801,25.4,67.48
802,25.4,66
803,25.4,58.02
804,25.4,51
805,25.4,47.9
806,25.4,42.53
807,25.4,44.71
808,25.4,50.58
809,25.4,67.4
810,25.4,106
811,25.4,96
812,25.4,72.45
813,25.4,63.1
814,25.4,51.41
815,25.4,40
816,25.4,42.5
817,25.4,32.22
818,25.4,6.9
819,25.4,0.72
820,25.4,0
821,25.4,0
822,25.4,0
823,25.4,4.4
824,25.4,11.88
825,25.4,27.5
826,25.4,40
827,25.4,26.67
828,25.4,19.79
829,25.4,5.07
830,25.4,14
831,25.4,31.68
832,25.4,41.2
833,25.4,63.5
834,25.4,85.81
835,25.4,70.9
836,25.4,53.6
837,25.4,54.89
838,25.4,49.74
839,25.4,34.98
840,25.4,1.63
841,25.4,0.1
842,25.4,0.1
843,25.4,0.22
844,25.4,0.08
845,25.4,1.65
846,25.4,41.23
847,25.4,85
848,25.4,106.6
849,25.4,78.7
850,25.4,55.2
851,25.4,44.89
852,25.4,34.8
853,25.4,45.5
854,25.4,54
855,25.4,55.79
856,25.4,65
857,25.4,86.21
858,25.4,97.55
859,25.4,80.1
860,25.4,69.96
861,25.4,59.91
862,25.4,56.04
863,25.4,47.41
864,25.4,35.46
865,25.4,28.2
866,25.4,10
867,25.4,4.98
868,25.4,3.11
869,25.4,20.09
870,25.4,50
871,25.4,69.22
872,25.4,88.2
873,25.4,87.3
874,25.4,87.1
875,25.4,76.5
876,25.4,64.9
877,25.4,59.94
878,25.4,63.86
879,25.4,63.9
880,25.4,64.7
881,25.4,80
882,25.4,99.26
883,25.4,94.89
884,25.4,71
885,25.4,62.62
886,25.4,57.11
887,25.4,53.3
888,25.4,41.17
889,25.4,44.8
890,25.4,49.9
891,25.4,60.98
892,25.4,61
893,25.4,65.6
894,25.4,75.9
895,25.4,88.6
896,25.4,94.9
897,25.4,96.9
898,25.4,81.88
899,25.4,78.66
900,25.4,75
901,25.4,73.8
902,25.4,75.38
903,25.4,85.3
904,25.4,93.03
905,25.4,119.64
906,25.4,135.8
907,25.4,110.32
908,25.4,98
909,25.4,83.56
910,25.4,79.01
911,25.4,79.21
912,25.4,73.7
913,25.4,73.2
914,25.4,72.15
915,25.4,68.63
916,25.4,66.69
917,25.4,71.71
918,25.4,82.06
919,25.4,104.49
920,25.4,131.91
921,25.4,112.37
922,25.4,98.02
923,25.4,89.55
924,25.4,84.01
925,25.4,85.52
926,25.4,83.32
927,25.4,84
928,25.4,76.81
929,25.4,77.2
930,25.4,84
931,25.4,81.5
932,25.4,77.57
933,25.4,75
934,25.4,70.82
935,25.4,61.64
936,25.4,60.36
937,25.4,52.16
938,25.4,47.15
939,25.4,42.1
940,25.4,41.3
941,25.4,44.88
942,25.4,52.88
943,25.4,63.7
944,25.4,67.89
945,25.4,67.83
946,25.4,68.82
947,25.4,67.61
948,25.4,64.55
949,25.4,63.7
950,25.4,68.68
951,25.4,75.46
952,25.4,82.38
953,25.4,92.49
954,25.4,94.29
955,25.4,87.1
956,25.4,80.54
957,25.4,75.22
958,25.4,74.91
959,25.4,70.94
960,25.4,63.1
961,25.4,64.08
962,25.4,64.4
963,25.4,64.39
964,25.4,64.41
965,25.4,65.82
966,25.4,70.91
967,25.4,74.86
968,25.4,77.7
969,25.4,80.38
970,25.4,75.4
971,25.4,70.42
972,25.4,68.5
973,25.4,66.72
974,25.4,69.53
975,25.4,77.17
976,25.4,85.05
977,25.4,89.9
978,25.4,113.6
979,25.4,89
980,25.4,74.4
981,25.4,70
982,25.4,77.21
983,25.4,64.32
984,25.4,68.8
985,25.4,59.3
986,25.4,52.6
987,25.4,46.83
988,25.4,46.51
989,25.4,46.25
990,25.4,56.4
991,25.4,63.03
992,25.4,71
993,25.4,66.1
994,25.4,68.4
995,25.4,65.46
996,25.4,64.34
997,25.4,63.38
998,25.4,64.06
999,25.4,68.22
1000,25.4,72.24
1001,25.4,79.72
1002,25.4,112
1003,25.4,96.8
1004,25.4,77.03
1005,25.4,70.72
1006,25.4,68.39
1007,25.4,64.01
1008,25.4,64.35
1009,25.4,61.65
1010,25.4,60.73
1011,25.4,59.47
1012,25.4,59.21
1013,25.4,65
1014,25.4,76
1015,25.4,85.41
1016,25.4,104
1017,25.4,96.5
1018,25.4,85.47
1019,25.4,79.09
1020,25.4,67.42
1021,25.4,63.86
1022,25.4,64.13
1023,25.4,66.65
1024,25.4,77.1
1025,25.4,90.69
1026,25.4,96
1027,25.4,89.08
1028,25.4,79.15
1029,25.4,71.54
1030,25.4,65.87
1031,25.4,61.9
1032,25.4,68.59
1033,25.4,65.37
1034,25.4,63.41
1035,25.4,60.49
1036,25.4,60.06
1037,25.4,63.59
1038,25.4,70.7
1039,25.4,82.32
1040,25.4,89.1
1041,25.4,75.12
1042,25.4,69.21
1043,25.4,63.87
1044,25.4,60.53
1045,25.4,60.26
1046,25.4,63.1
1047,25.4,70.7
1048,25.4,77.92
1049,25.4,91.79
1050,25.4,99.2
1051,25.4,91.13
1052,25.4,78.2
1053,25.4,72.18
1054,25.4,68.53
1055,25.4,64.78
1056,25.4,60.63
1057,25.4,59.34
1058,25.4,55.76
1059,25.4,54.79
1060,25.4,55.06
1061,25.4,58.5
1062,25.4,63.52
1063,25.4,72.98
1064,25.4,79.89
1065,25.4,69.65
1066,25.4,63.86
1067,25.4,63.29
1068,25.4,62.16
1069,25.4,61.91
1070,25.4,67.29
1071,25.4,70.69
1072,25.4,75.99
1073,25.4,81.65
1074,25.4,87.67
1075,25.4,84.58
1076,25.4,76.6
1077,25.4,69.71
1078,25.4,68.2
1079,25.4,63.8
1080,25.4,61.67
1081,25.4,60.55
1082,25.4,59.41
1083,25.4,58.33
1084,25.4,59.63
1085,25.4,63.43
1086,25.4,70.14
1087,25.4,79.8
1088,25.4,82.06
1089,25.4,77.84
1090,25.4,73.51
1091,25.4,68.51
1092,25.4,64.8
1093,25.4,63.85
1094,25.4,66.84
1095,25.4,71.27
1096,25.4,74.11
1097,25.4,82.44
1098,25.4,84.54
1099,25.4,75.13
1100,25.4,69.56
1101,25.4,62.68
1102,25.4,62.66
1103,25.4,58.64
1104,25.4,51.76
1105,25.4,51.08
1106,25.4,49.92
1107,25.4,48.81
1108,25.4,51.38
1109,25.4,52.2
1110,25.4,57.5
1111,25.4,68.88
1112,25.4,70.5
1113,25.4,68
1114,25.4,61.2
1115,25.4,68.8
1116,25.4,65
1117,25.4,61.2
1118,25.4,63.04
1119,25.4,64.96
1120,25.4,70
1121,25.4,72.06
1122,25.4,79.73
1123,25.4,80.75
1124,25.4,74.53
1125,25.4,70
1126,25.4,70
1127,25.4,65.7
1128,25.4,68.5
1129,25.4,62.64
1130,25.4,68
1131,25.4,64.9
1132,25.4,64.89
1133,25.4,73.28
1134,25.4,60.6
1135,25.4,68.7
1136,25.4,75.3
1137,25.4,84.52
1138,25.4,67
1139,25.4,60.83
1140,25.4,58.24
1141,25.4,55.25
1142,25.4,59.1
1143,25.4,67.07
1144,25.4,70.8
1145,25.4,85.01
1146,25.4,105.68
1147,25.4,89.51
1148,25.4,80.15
1149,25.4,74.16
1150,25.4,72.06
1151,25.4,69.11
1152,25.4,62.13
1153,25.4,54.81
1154,25.4,51.4
1155,25.4,50.22
1156,25.4,50
1157,25.4,48.47
1158,25.4,46.02
1159,25.4,48.97
1160,25.4,47.28
1161,25.4,43.03
1162,25.4,40.45
1163,25.4,41
1164,25.4,50
1165,25.4,50.17
1166,25.4,64.6
1167,25.4,66.93
1168,25.4,62.87
1169,25.4,72
1170,25.4,84.1
1171,25.4,70.59
1172,25.4,64.71
1173,25.4,59.83
1174,25.4,57.33
1175,25.4,53.94
1176,25.4,44
1177,25.4,48.32
1178,25.4,46.46
1179,25.4,43.91
1180,25.4,44.92
1181,25.4,51.57
1182,25.4,68.63
1183,25.4,79.12
1184,25.4,83.87
1185,25.4,75.06
1186,25.4,70.88
1187,25.4,69.22
1188,25.4,62.47
1189,25.4,59.97
1190,25.4,64.18
1191,25.4,66.8
1192,25.4,69.86
1193,25.4,76.15
1194,25.4,99.89
1195,25.4,80.02
1196,25.4,71.92
1197,25.4,67.49
1198,25.4,66.27
1199,25.4,59.07
1200,25.4,58.06
1201,25.4,54.32
1202,25.4,53.96
1203,25.4,56
1204,25.4,53
1205,25.4,54.81
1206,25.4,71.05
1207,25.4,86.07
1208,25.4,89.63
1209,25.4,78.77
1210,25.4,69.85
1211,25.4,60.92
1212,25.4,53.52
1213,25.4,51.51
1214,25.4,51.86
1215,25.4,55.89
1216,25.4,62.28
1217,25.4,68.98
1218,25.4,70.86
1219,25.4,70.76
1220,25.4,67.76
1221,25.4,57
1222,25.4,48.44
1223,25.4,49.61
1224,25.4,48.58
1225,25.4,46.91
1226,25.4,46.86
1227,25.4,44.8
1228,25.4,45.43
1229,25.4,50.06
1230,25.4,65.01
1231,25.4,79.7
1232,25.4,84.05
1233,25.4,69.65
1234,25.4,64.1
1235,25.4,60.39
1236,25.4,53.01
1237,25.4,51.21
1238,25.4,53.76
1239,25.4,64.71
1240,25.4,67.1
1241,25.4,68.31
1242,25.4,68.38
1243,25.4,61.6
1244,25.4,52.52
1245,25.4,46.31
1246,25.4,42.04
1247,25.4,35.57
1248,25.4,30.87
1249,25.4,27.42
1250,25.4,27.5
1251,25.4,29.44
1252,25.4,35.51
1253,25.4,46.72
1254,25.4,64.26
1255,25.4,75
1256,25.4,81.91
1257,25.4,74
1258,25.4,69.44
1259,25.4,67.46
1260,25.4,66.9
1261,25.4,66.69
1262,25.4,63.49
1263,25.4,63.1
1264,25.4,60.93
1265,25.4,61.76
1266,25.4,59.95
1267,25.4,60.4
1268,25.4,47.92
1269,25.4,43.81
1270,25.4,34.9
1271,25.4,20.1
1272,25.4,9.28
1273,25.4,1.5
1274,25.4,1.19
1275,25.4,0.1
1276,25.4,0.4
1277,25.4,1.13
1278,25.4,39.96
1279,25.4,57.96
1280,25.4,60.8
1281,25.4,53.54
1282,25.4,47.1
1283,25.4,42.04
1284,25.4,37.27
1285,25.4,32.9
1286,25.4,38
1287,25.4,49.64
1288,25.4,63.21
1289,25.4,73.7
1290,25.4,86.44
1291,25.4,84.01
1292,25.4,72.97
1293,25.4,69.26
1294,25.4,67.98
1295,25.4,65.1
1296,25.4,66.47
1297,25.4,63.9
1298,25.4,59.5
1299,25.4,55.2
1300,25.4,55.39
1301,25.4,57.1
1302,25.4,61.67
1303,25.4,66.11
1304,25.4,64.4
1305,25.4,57.6
1306,25.4,49.19
1307,25.4,45.81
1308,25.4,40.32
1309,25.4,32.22
1310,25.4,37.6
1311,25.4,45
1312,25.4,55.96
1313,25.4,72.96
1314,25.4,81.95
1315,25.4,74.13
1316,25.4,65.17
1317,25.4,59.94
1318,25.4,64.02
1319,25.4,63.51
1320,25.4,56.57
1321,25.4,55.44
1322,25.4,55.44
1323,25.4,54.95
1324,25.4,55.25
1325,25.4,55.07
1326,25.4,58.6
1327,25.4,59.92
1328,25.4,75
1329,25.4,71.5
1330,25.4,56.68
1331,25.4,54.64
1332,25.4,50
1333,25.4,46.03
1334,25.4,49.84
1335,25.4,55
1336,25.4,68.9
1337,25.4,85.69
1338,25.4,93.88
1339,25.4,79
1340,25.4,69.96
1341,25.4,65.82
1342,25.4,65.23
1343,25.4,58.38
1344,25.4,57.83
1345,25.4,56.82
1346,25.4,55.67
1347,25.4,51.8
1348,25.4,53.24
1349,25.4,57.92
1350,25.4,68.44
1351,25.4,79.54
1352,25.4,81.6
1353,25.4,73.83
1354,25.4,66.65
1355,25.4,65.03
1356,25.4,58.42
1357,25.4,58.19
1358,25.4,61.29
1359,25.4,64.95
1360,25.4,69.92
1361,25.4,77
1362,25.4,85.32
1363,25.4,81
1364,25.4,72.21
1365,25.4,65.69
1366,25.4,65.21
1367,25.4,60.76
1368,25.4,57.62
1369,25.4,57.55
1370,25.4,57.35
1371,25.4,56.87
1372,25.4,57.35
1373,25.4,62.75
1374,25.4,73.32
1375,25.4,92.87
1376,25.4,95.22
1377,25.4,80.81
1378,25.4,68.71
1379,25.4,61
1380,25.4,55.49
1381,25.4,55.58
1382,25.4,56
1383,25.4,59.9
1384,25.4,66.5
1385,25.4,93.95
1386,25.4,110.18
1387,25.4,105.17
1388,25.4,84.36
1389,25.4,72.5
1390,25.4,70.3
