Time_Index,day,solar_cf,wind_cf,demand,electricity_price
107,5,0.55838,0.16,162,100.46
108,5,0.69437,0.15,173,103.33
109,5,0.79374,0.19,156,107.65
110,5,0.84077,0.47,166,108.58
111,5,0.85197,0.87,149,104.15
112,5,0.80985,0.26,167,100.28
113,5,0.71882,0.34,178,94.29
114,5,0.58195,0.406,198,94.92
115,5,0.39814,0.468,208,86.8
116,5,0.18654,0.476,184,82.25
117,5,0.0325,0.568,160,80.2
118,5,0.0218,0.69,156,76.13
119,5,0,0.762,179,73.01
120,5,0,0.818,181,73.01
121,6,0,0.832,168,74.59
122,6,0,0.856,160,75.1
123,6,0,0.834,161,81.39
124,6,0,0.786,161,88.4
125,6,0,0.744,162,92.23
126,6,0,0.736,165,97.3
127,6,0.0104,0.706,170,100.42
128,6,0.04374,0.624,174,99.16
129,6,0.18526,0.58,175,92.2
130,6,0.37859,0.632,173,92.11
131,6,0.5615,0.738,171,90.42
132,6,0.70388,0.896,182,91.33
133,6,0.79995,1,173,104.41
134,6,0.85444,1,179,103.63
135,6,0.85514,1,177,99
136,6,0.81309,1,190,92.14
137,6,0.71464,1,242,88
138,6,0.57786,1,234,86.57
139,6,0.39647,1,238,79.87
140,6,0.18515,1,247,84.08
141,6,0.03357,1,235,79.82
142,6,0.02152,1,218,76.76
143,6,0,1,192,73.46
144,6,0,1,172,71.86
145,7,0,1,175,72.08
146,7,0,1,177,74.9
147,7,0,1,178,77.69
148,7,0,1,178,81.79
149,7,0,1,179,84.86
150,7,0,1,182,87.14
151,7,0.00893,1,191,89.13
152,7,0.05455,0.964,223,88.66
153,7,0.17688,0.972,314,84.81
154,7,0.36372,0.99,275,84.34
155,7,0.54122,1,236,88.01
156,7,0.67997,1,214,93.42
157,7,0.78,1,217,101.77
158,7,0.83457,0.996,208,104.85
159,7,0.83578,0.932,212,103.55
160,7,0.79182,0.836,199,100.5
161,7,0.69624,0.82,218,93.31
162,7,0.552,0.724,207,91.17
163,7,0.37688,0.728,239,83.86
164,7,0.1821,0.754,271,87.03
165,7,0.04726,0.776,259,84.3
166,7,0.02302,0.73,244,81.69
167,7,0,0.722,232,78.97
168,7,0,0.754,216,78.46
